feature,group,importance_mean,importance_std
ΔLFCC15 (desvio),LFCC,-0.00048239266763148156,0.0008629302373371109
ΔLFCC5 (média),LFCC,-0.00048239266763148156,0.0006005740278817414
MFCC12 (desvio),MFCC,-0.0005065123010130438,0.0004633230273106243
ΔΔLFCC2 (desvio),LFCC,-0.0005065123010130623,0.0011076664257795518
ΔLFCC20 (média),LFCC,-0.0005306319343946135,0.00041496986334022624
ΔΔLFCC17 (média),LFCC,-0.0005306319343946209,0.0004919459250933667
LFCC15 (desvio),LFCC,-0.0006029908345393446,0.0008779679075350431
MFCC13 (média),MFCC,-0.0006029908345393594,0.002954532027325883
LFCC10 (média),LFCC,-0.000675349734684072,0.001022171736633727
LFCC14 (desvio),LFCC,-0.0006753497346840794,0.0020798901241977866
ΔLFCC20 (desvio),LFCC,-0.0006994693680656306,0.0006601028549640261
MFCC10 (média),MFCC,-0.0006994693680656453,0.001031519767503291
LFCC19 (média),LFCC,-0.0007235890014472298,0.0015962751671755317
ΔLFCC10 (desvio),LFCC,-0.000747708634828792,0.0013274566238125555
MFCC8 (desvio),MFCC,-0.000844187168355078,0.0012263119941038302
média |x|,Temporal,-0.0009165460684997943,0.0007688074023400575
ΔΔLFCC10 (desvio),LFCC,-0.0009165460684998054,0.0011354174911664162
ΔΔLFCC13 (desvio),LFCC,-0.0009647853352629594,0.0016535587555236526
LFCC10 (desvio),LFCC,-0.0010130246020260989,0.0014899609465972457
percentil 75,Temporal,-0.0010853835021708076,0.0012071870483591092
MFCC2 (desvio),MFCC,-0.0013748191027496766,0.0017056861754208394
LFCC7 (desvio),LFCC,-0.001374819102749684,0.0011867742016538878
ΔΔLFCC11 (desvio),LFCC,-0.0016642547033285566,0.001075692384031741
energia da diferença,Temporal,-0.001808972503617993,0.0012215588289532769
ΔΔLFCC14 (desvio),LFCC,-0.0021225277375784353,0.0017815904787862455
MFCC8 (média),MFCC,-0.00253256150506516,0.0017401274949761462
LFCC11 (desvio),LFCC,-0.003352629040038639,0.002314605275954353
LFCC8 (média),LFCC,-0.004872165943077719,0.0018299157490005494
